PROC_REA,Nome_Regiao,time_idx,Ano,Mes,Valor_Previsto_Mediana,Valor_Melhor_Cenario,Valor_Pior_Cenario
303010037,Nordeste,237,2034,10,85278960.0,75900630.0,86887656.0
303010037,Nordeste,238,2034,11,85181750.0,75898750.0,86840450.0
303010037,Nordeste,239,2034,12,85081250.0,75888470.0,86795400.0
303010037,Norte,120,2025,1,9325699.0,6574966.5,11266849.0
303010037,Norte,121,2025,2,9499027.0,6640370.0,11164382.0
303010037,Norte,122,2025,3,9589447.0,6723381.5,11045030.0
303010037,Norte,123,2025,4,9617161.0,6800442.5,10929498.0
303010037,Norte,124,2025,5,9604054.0,6864519.0,10820374.0
303010037,Norte,125,2025,6,9568801.0,6915390.0,10715834.0
303010037,Norte,126,2025,7,9522283.0,6955299.5,10613539.0
303010037,Norte,127,2025,8,9470896.0,6984333.5,10515307.0
303010037,Norte,128,2025,9,9414380.0,7004658.0,10417906.0
303010037,Norte,129,2025,10,9355773.0,7018051.0,10325621.0
303010037,Norte,130,2025,11,9294517.0,7024968.5,10234076.0
303010037,Norte,131,2025,12,9231655.0,7027193.0,10146205.0
303010037,Norte,132,2026,1,8133306.0,6567696.5,10040496.0
303010037,Norte,133,2026,2,8437829.0,6609859.5,10119380.0
303010037,Norte,134,2026,3,8787527.0,6719817.5,10140053.0
303010037,Norte,135,2026,4,9012353.0,6846814.5,10076026.0
303010037,Norte,136,2026,5,9104494.0,6951526.5,9985094.0
303010037,Norte,137,2026,6,9123529.0,7026389.0,9902005.0
303010037,Norte,138,2026,7,9108975.0,7077554.5,9828658.0
303010037,Norte,139,2026,8,9079539.0,7112801.5,9761884.0
303010037,Norte,140,2026,9,9043313.0,7136493.5,9700819.0
303010037,Norte,141,2026,10,9003642.0,7152287.5,9641368.0
303010037,Norte,142,2026,11,8962846.0,7161870.5,9584729.0
303010037,Norte,143,2026,12,8921639.0,7167651.0,9531551.0
303010037,Norte,144,2027,1,10724830.0,8301349.5,12903273.0
303010037,Norte,145,2027,2,11161699.0,8381344.0,12928426.0
303010037,Norte,146,2027,3,11466104.0,8511528.0,12856989.0
303010037,Norte,147,2027,4,11602303.0,8634079.0,12757519.0
303010037,Norte,148,2027,5,11640339.0,8727619.0,12667031.0
303010037,Norte,149,2027,6,11628333.0,8792766.0,12588200.0
303010037,Norte,150,2027,7,11596041.0,8838679.0,12514083.0
303010037,Norte,151,2027,8,11553366.0,8869457.0,12441353.0
303010037,Norte,152,2027,9,11506854.0,8890112.0,12371830.0
303010037,Norte,153,2027,10,11456026.0,8904095.0,12304478.0
303010037,Norte,154,2027,11,11405270.0,8912709.0,12239196.0
303010037,Norte,155,2027,12,11355389.0,8917232.0,12177769.0
303010037,Norte,156,2028,1,11788609.0,9221131.0,13851934.0
303010037,Norte,157,2028,2,12226527.0,9298932.0,13888866.0
303010037,Norte,158,2028,3,12519837.0,9428575.0,13830128.0
303010037,Norte,159,2028,4,12650275.0,9550075.0,13748279.0
303010037,Norte,160,2028,5,12687487.0,9640706.0,13678234.0
303010037,Norte,161,2028,6,12678342.0,9703484.0,13613816.0
303010037,Norte,162,2028,7,12649237.0,9744156.0,13553035.0
