PA_PROC_ID,time_idx,Ano,Mes,Valor_Previsto_Mediana,Valor_Melhor_Cenario,Valor_Pior_Cenario
212010050,174,2029,7,26985642.0,25941222.0,27153418.0
212010050,175,2029,8,27003814.0,25985252.0,27136572.0
212010050,176,2029,9,27017590.0,26024434.0,27125188.0
212010050,177,2029,10,27026388.0,26053932.0,27114252.0
212010050,178,2029,11,27029458.0,26072480.0,27099910.0
212010050,179,2029,12,27030720.0,26084062.0,27083274.0
212010050,180,2030,1,27161758.0,25714348.0,27668454.0
212010050,181,2030,2,27293266.0,25971300.0,27743396.0
212010050,182,2030,3,27378582.0,26152040.0,27729228.0
212010050,183,2030,4,27430984.0,26274542.0,27687020.0
212010050,184,2030,5,27464646.0,26356864.0,27641810.0
212010050,185,2030,6,27489878.0,26415680.0,27605550.0
212010050,186,2030,7,27509204.0,26461830.0,27578820.0
212010050,187,2030,8,27525754.0,26504696.0,27561440.0
212010050,188,2030,9,27538664.0,26542032.0,27550822.0
212010050,189,2030,10,27546392.0,26571862.0,27541812.0
212010050,190,2030,11,27548724.0,26590042.0,27526796.0
212010050,191,2030,12,27549282.0,26599906.0,27512352.0
212010050,192,2031,1,27563184.0,26640252.0,27800542.0
212010050,193,2031,2,27640526.0,26801714.0,27848088.0
212010050,194,2031,3,27688576.0,26912240.0,27837662.0
212010050,195,2031,4,27716884.0,26985040.0,27811394.0
212010050,196,2031,5,27734576.0,27034344.0,27783072.0
212010050,197,2031,6,27748604.0,27068998.0,27760982.0
212010050,198,2031,7,27760712.0,27098190.0,27746048.0
212010050,199,2031,8,27770032.0,27123192.0,27737068.0
212010050,200,2031,9,27778190.0,27147858.0,27732372.0
212010050,201,2031,10,27783406.0,27166246.0,27727828.0
212010050,202,2031,11,27784834.0,27177708.0,27720366.0
212010050,203,2031,12,27786070.0,27185586.0,27711626.0
212010050,204,2032,1,27803088.0,27235986.0,27913496.0
212010050,205,2032,2,27849416.0,27336950.0,27942138.0
212010050,206,2032,3,27876248.0,27404256.0,27933102.0
212010050,207,2032,4,27891406.0,27447670.0,27915332.0
212010050,208,2032,5,27901668.0,27476410.0,27897986.0
212010050,209,2032,6,27908572.0,27496628.0,27882984.0
212010050,210,2032,7,27915362.0,27513320.0,27874250.0
